,Zone number,Zone letter,Earthquake,Volcanic eruption
0,55.0,Q,1.0,1.0
1,52.0,N,1.0,1.0
2,2.0,K,1.0,0.0
3,27.0,E,1.0,0.0
4,52.0,P,1.0,0.0
5,58.0,L,1.0,1.0
6,45.0,R,1.0,0.0
7,26.0,E,1.0,0.0
8,60.0,J,1.0,0.0
9,49.0,M,1.0,1.0
10,51.0,M,1.0,1.0
11,57.0,U,1.0,1.0
12,1.0,K,1.0,0.0
13,43.0,S,1.0,0.0
14,54.0,F,1.0,0.0
15,60.0,U,1.0,0.0
16,59.0,U,1.0,0.0
17,23.0,P,1.0,0.0
18,3.0,U,1.0,0.0
19,4.0,U,1.0,0.0
20,58.0,U,1.0,0.0
21,59.0,K,1.0,1.0
22,51.0,N,1.0,1.0
23,54.0,S,1.0,1.0
24,54.0,Q,1.0,0.0
25,46.0,R,1.0,0.0
26,52.0,M,1.0,1.0
27,2.0,L,1.0,0.0
28,19.0,J,1.0,0.0
29,56.0,M,1.0,1.0
30,18.0,N,1.0,1.0
31,12.0,R,1.0,0.0
32,51.0,Q,1.0,1.0
33,15.0,P,1.0,1.0
34,35.0,S,1.0,0.0
35,1.0,J,1.0,1.0
36,55.0,M,1.0,1.0
37,20.0,J,1.0,0.0
38,8.0,K,1.0,0.0
39,34.0,S,1.0,0.0
40,42.0,S,1.0,0.0
41,54.0,T,1.0,1.0
42,26.0,F,1.0,0.0
43,50.0,M,1.0,0.0
44,19.0,H,1.0,1.0
45,51.0,P,1.0,1.0
46,14.0,P,1.0,0.0
47,56.0,T,1.0,0.0
48,1.0,H,1.0,0.0
49,59.0,L,1.0,0.0
50,60.0,G,1.0,0.0
51,54.0,R,1.0,1.0
52,51.0,R,1.0,0.0
53,4.0,W,1.0,0.0
54,9.0,T,1.0,0.0
55,54.0,P,1.0,0.0
56,16.0,N,1.0,0.0
57,10.0,T,1.0,1.0
58,6.0,V,1.0,0.0
59,52.0,R,1.0,1.0
60,16.0,P,1.0,1.0
61,44.0,T,1.0,0.0
62,53.0,M,1.0,0.0
63,57.0,L,1.0,0.0
64,48.0,M,1.0,1.0
65,55.0,T,1.0,0.0
66,19.0,K,1.0,1.0
67,38.0,H,1.0,0.0
68,60.0,H,1.0,1.0
69,45.0,S,1.0,0.0
70,40.0,R,1.0,0.0
71,5.0,V,1.0,1.0
72,31.0,F,1.0,0.0
73,7.0,V,1.0,0.0
74,3.0,E,1.0,0.0
75,47.0,Q,1.0,0.0
76,47.0,N,1.0,1.0
77,47.0,M,1.0,1.0
78,2.0,U,1.0,0.0
79,57.0,E,1.0,0.0
80,17.0,M,1.0,1.0
81,58.0,K,1.0,0.0
82,27.0,M,1.0,0.0
83,46.0,N,1.0,0.0
84,35.0,T,1.0,0.0
85,15.0,Q,1.0,1.0
86,42.0,M,1.0,0.0
87,14.0,H,1.0,0.0
88,18.0,M,1.0,1.0
89,55.0,P,1.0,0.0
90,24.0,F,1.0,0.0
91,60.0,K,1.0,0.0
92,18.0,G,1.0,1.0
93,50.0,P,1.0,0.0
94,57.0,M,1.0,0.0
95,19.0,L,1.0,0.0
96,12.0,K,1.0,0.0
97,54.0,M,1.0,0.0
98,45.0,T,1.0,0.0
99,24.0,R,1.0,0.0
100,1.0,U,1.0,1.0
101,49.0,L,1.0,1.0
102,13.0,Q,1.0,0.0
103,14.0,Q,1.0,1.0
104,7.0,E,1.0,0.0
105,17.0,N,1.0,0.0
106,46.0,P,1.0,0.0
107,53.0,S,1.0,1.0
108,5.0,U,1.0,0.0
109,42.0,R,1.0,0.0
110,50.0,Q,1.0,0.0
111,48.0,R,1.0,0.0
112,56.0,U,1.0,1.0
113,50.0,L,1.0,1.0
114,44.0,H,1.0,0.0
115,44.0,R,1.0,0.0
116,50.0,S,1.0,0.0
117,34.0,F,1.0,0.0
118,35.0,N,1.0,0.0
119,17.0,P,1.0,0.0
120,47.0,G,1.0,0.0
121,18.0,H,1.0,0.0
122,39.0,T,1.0,0.0
123,18.0,L,1.0,1.0
124,57.0,F,1.0,0.0
125,37.0,T,1.0,0.0
126,58.0,V,1.0,0.0
127,12.0,Q,1.0,0.0
128,41.0,N,1.0,0.0
129,11.0,S,1.0,0.0
130,37.0,S,1.0,0.0
131,10.0,S,1.0,0.0
132,47.0,R,1.0,0.0
133,51.0,L,1.0,1.0
134,17.0,L,1.0,0.0
135,28.0,M,1.0,0.0
136,19.0,Q,1.0,0.0
137,1.0,L,1.0,0.0
138,20.0,Q,1.0,1.0
139,55.0,U,1.0,0.0
140,46.0,Q,1.0,0.0
141,12.0,H,1.0,0.0
142,35.0,L,1.0,0.0
143,20.0,P,1.0,1.0
144,48.0,U,1.0,0.0
145,49.0,F,1.0,0.0
